"","cty1","cty2","absimport"
"429",142,612,83116.8671875
"430",142,644,12467.5361328125
"431",142,686,83116.8671875
"432",144,111,4205715.5
"433",144,112,9749604
"434",144,122,274285.8125
"435",144,128,1716363.875
"436",144,132,3116882.75
"437",144,134,5593768.5
"438",144,136,1367272.375
"439",144,138,2194285.5
"440",144,142,1454545
"441",144,146,610909.0625
"442",144,156,162077.90625
"443",144,158,207792.265625
"444",144,172,544415.5
"445",144,174,66493.4921875
"446",144,176,66493.4921875
"447",144,178,62337.6796875
"448",144,182,199480.578125
"449",144,184,432207.75
"450",144,186,220259.734375
"451",144,193,694026.1875
"452",144,196,108051.9375
"453",144,199,353246.84375
"454",144,213,1209350.75
"455",144,223,1608311.125
"456",144,228,137142.84375
"457",144,233,195324.75
"458",144,273,299220.875
"459",144,278,4155.84326171875
"460",144,288,54025.99609375
"461",144,293,12467.5361328125
"462",144,298,290908.96875
"463",144,299,286753.3125
"464",144,423,24935.060546875
"465",144,436,87272.6953125
"466",144,469,166233.8125
"467",144,518,20779.216796875
"468",144,524,220259.734375
"469",144,534,220259.734375
"470",144,564,103896.0859375
"471",144,566,41558.453125
"472",144,578,58181.79296875
"473",144,612,41558.453125
"474",144,636,153766.21875
"475",144,644,16623.373046875
"476",144,686,182857.203125
"477",146,111,6046754
"478",146,112,3549090.5
"479",146,122,606752.9375
"480",146,128,573506.375
"481",146,132,5269608.5
"482",146,134,4775067.5
"483",146,136,3100260.5
"484",146,138,1525194.875
"485",146,142,149610.359375
"486",146,144,652467.375
"487",146,156,1279999.625
"488",146,158,236883.171875
"489",146,172,83116.8671875
"490",146,174,74805.21875
"491",146,178,54025.99609375
"492",146,182,178701.234375
"493",146,184,398960.96875
"494",146,186,132987.046875
"495",146,193,307532.59375
"496",146,196,33246.76171875
"497",146,199,1358960.375
"498",146,213,1196883.5
"499",146,223,752207.4375
"500",146,228,70649.3671875
"501",146,233,91428.5546875
"502",146,238,83116.8671875
"503",146,243,24935.060546875
"504",146,248,29090.912109375
"505",146,253,49870.14453125
"506",146,258,99740.2421875
"507",146,268,8311.6904296875
"508",146,273,436363.46875
"509",146,278,12467.5361328125
"510",146,288,70649.3671875
"511",146,293,265973.96875
"512",146,298,257662.265625
"513",146,299,70649.3671875
"514",146,436,33246.76171875
"515",146,469,594285.6875
"516",146,524,120519.5
"517",146,534,187012.953125
"518",146,564,12467.5361328125
"519",146,566,340779.125
"520",146,578,128831.1953125
"521",146,612,112207.828125
"522",146,636,137142.84375
"523",146,644,49870.14453125
"524",146,686,66493.4921875
"525",146,694,8311.6904296875
"526",156,111,89853584
"527",156,112,17022350
"528",156,122,41558.453125
"529",156,128,58181.79296875
"530",156,132,619220.625
"531",156,134,461298.875
"532",156,136,394805.09375
"533",156,138,374026.09375
"534",156,142,58181.79296875
"535",156,144,216103.984375
"536",156,146,606752.9375
"537",156,158,507012.78125
"538",156,172,4155.84326171875
"539",156,174,4155.84326171875
"540",156,176,8311.6904296875
"541",156,178,4155.84326171875
"542",156,182,87272.6953125
"543",156,184,145454.5625
"544",156,186,49870.14453125
"545",156,193,1396363.125
"546",156,196,498701.21875
"547",156,199,207792.265625
"548",156,213,457142.78125
"549",156,218,99740.2421875
"550",156,223,1188570.875
"551",156,228,54025.99609375
"552",156,233,556882.875
"553",156,238,141298.671875
"554",156,243,45714.30078125
"555",156,248,58181.79296875
"556",156,253,33246.76171875
"557",156,258,241038.890625
"558",156,268,232727.1875
"559",156,273,1379739.625
"560",156,278,12467.5361328125
"561",156,283,224415.546875
"562",156,288,12467.5361328125
"563",156,293,166233.8125
"564",156,298,116363.6484375
"565",156,299,3673766
"566",156,343,793766.125
"567",156,369,635844.3125
"568",156,436,16623.373046875
"569",156,469,29090.912109375
"570",156,524,739740.1875
"571",156,534,1562597.25
"572",156,564,70649.3671875
"573",156,566,270130
"574",156,578,45714.30078125
"575",156,636,58181.79296875
"576",156,652,374026.09375
"577",156,686,29090.912109375
"578",156,694,58181.79296875
"579",158,111,17745470
"580",158,112,265973.96875
"581",158,122,20779.216796875
"582",158,128,12467.5361328125
"583",158,132,199480.578125
"584",158,134,365714.21875
"585",158,136,49870.14453125
"586",158,138,49870.14453125
"587",158,142,83116.8671875
"588",158,144,241038.890625
"589",158,146,12467.5361328125
"590",158,156,635844.3125
"591",158,172,54025.99609375
