node mean_tx_out median_tx_out mean_tx_in mean_tx_int count.mean_tx_all count.median_tx_all
307 0 0 2.0960801205665287e-06 0.0030120481927710845 9.113244825499588e-07 1.3973965105611735e-06
308 0 0 0 0 2.3044395027019555e-06 2.3044395027019555e-06
309 0 0 0 0 0.006172839506172839 0.006172839506172839
310 0 0 0 0 0.007352941176470588 0.007352941176470588
311 0 0 0.00041203131437989287 0.00041203131437989287 0.00041203131437989287 0.00041203131437989287
312 0 0 0 0 0 0
313 0 0 0 0 0 0
314 0 0 5.059960532307848e-05 5.059960532307848e-05 0.00010096420818819729 0.00010096420818819729
315 0 0 0 0 0.004830917874396135 0.004830917874396135
316 0 0 9.726770162743456e-07 9.726770162743456e-07 9.726770162743456e-07 9.726770162743456e-07
317 0 0 0 0 0 0
318 0 0 0 0 0.02040816326530612 0.02040816326530612
319 0 0 0 0 0 0
320 0 0 0 0 0.007633587786259542 0.007633587786259542
321 0 0 3.308703345628475e-07 3.308703345628475e-07 3.308703345628475e-07 3.308703345628475e-07
322 0 0 0 0 0 0
323 0 0 0 0 0.021739130434782608 0.021739130434782608
324 0 0 0 0 0 0
325 0 0 0 0 0 0
326 0 0 0 0 0.024390243902439025 0.024390243902439025
327 0 0 0 0 0.00013464386697185942 0.00013464386697185942
328 0 0 0 0 0.0125 0.0125
329 0 0 5.061451077532319e-07 5.061451077532319e-07 5.061451077532319e-07 5.061451077532319e-07
330 0 0 0 0 0 0
331 0 0 0 0 0.006024096385542169 0.006024096385542169
332 0 0 0 0 0 0
333 0 0 0 0 0.0064516129032258064 0.0064516129032258064
334 0 0 0 0 0.010752688172043012 0.010752688172043012
335 0 0 0 0 0 0
336 0 0 0 0 0 0
337 0 0 0 0 0.005434782608695652 0.005434782608695652
338 0 0 0 0 0 0
339 0 0 0 0 0.0049261083743842365 0.0049261083743842365
340 0 0 0 0 0 0
341 0 0 1.197081515265782e-05 1.197081515265782e-05 1.197081515265782e-05 1.197081515265782e-05
342 0 0 8.227459640196735e-07 8.227459640196735e-07 8.227459640196735e-07 8.227459640196735e-07
343 0 0 0 0 0 0
344 0 0 0 0 0.005 0.005
345 0 0 0 0 0 0
346 0 0 0 0 0 0
347 0 0 4.163856063823586e-06 4.163856063823586e-06 1.4084427693365107e-06 1.4084427693365107e-06
348 0 0 0 0 0 0
349 0 0 3.7449172111152137e-07 3.7449172111152137e-07 3.7449172111152137e-07 3.7449172111152137e-07
350 0 0 0 0 0 0
351 0 0 0 0 0.0064516129032258064 0.0064516129032258064
352 0 0 0 0 0 0
353 0 0 8.567185366904705e-07 8.567185366904705e-07 8.567185366904705e-07 8.567185366904705e-07
354 0 0 0 0 0.007936507936507936 0.007936507936507936
355 0 0 0.0005486968449931413 0.0005486968449931413 0.0005486968449931413 0.0005486968449931413
356 0 0 0 0 0.008130081300813009 0.008130081300813009
357 0 0 0 0 0.01 0.01
358 0 0 0 0 0.0003544842254519674 0.0003544842254519674
359 0 0 0 0 0 0
360 0 0 2.79441229317856e-07 2.79441229317856e-07 2.79441229317856e-07 2.79441229317856e-07
361 0 0 0 0 2.4064724482969394e-06 2.4064724482969394e-06
362 0 0 0 0 0.010869565217391304 0.010869565217391304
363 0 0 6.507535726371138e-06 6.507535726371138e-06 3.4297610656953584e-06 3.4297610656953584e-06
364 0 0 0 0 0.0017889087656529517 0.0017889087656529517
365 0 0 7.9290382790181e-07 7.9290382790181e-07 7.9290382790181e-07 7.9290382790181e-07
366 0 0 1.6616981890813135e-06 1.6616981890813135e-06 1.6616981890813135e-06 1.6616981890813135e-06
367 0 0 0 0 0.004166666666666667 0.004166666666666667
368 0.00011424436870465928 0.00010971528882549784 0.00011424436870465928 0.00010971528882549784 0.0002474964779347371 1.0
369 0 0 0 0 0 0
370 0.0038314176245210726 0.0038314176245210726 0 0 1.1513945691020965e-06 1.1513945691020965e-06
371 0 0 0 0 0.006944444444444444 0.006944444444444444
372 0 0 0 0 1.4404987582900704e-06 1.4404987582900704e-06
373 0 0 0 0 0.010752688172043012 0.010752688172043012
374 0 0 0 0 0 0
375 3.5476730989527626e-07 3.5476730989527626e-07 3.547505713257951e-07 3.547505713257951e-07 1.0641792304849039e-06 0.0030864197530864196
376 0 0 0 0 0.004694835680751174 0.004694835680751174
377 0 0 0 0 0.009433962264150943 0.009433962264150943
378 0 0 0 0 0 0
379 0.006369426751592357 0.006369426751592357 0 0 0.006369426751592357 0.006369426751592357
380 0 0 0.00980392156862745 0.00980392156862745 0.00980392156862745 0.00980392156862745
381 0 0 0 0 0.00026968716289104636 0.00026968716289104636
382 0 0 0 0 5.921013677541595e-05 5.921013677541595e-05
383 0 0 0 0 0.0047169811320754715 0.0047169811320754715
384 0 0 0 0 0 0
385 0 0 0 0 0.00011828720132481665 0.00011828720132481665
386 2.067769063279937e-06 2.067769063279937e-06 0.00018765246762994934 0.00014283673760891302 6.202249142280629e-06 0.0002324770428920144
387 0 0 0 0 0 0
388 0 0 0 0 3.99126710756864e-06 3.99126710756864e-06
389 0 0 0 0 0.0006939625260235947 0.0006939625260235947
390 0 0 0 0 0.007518796992481203 0.007518796992481203
391 0 0 0 0 0 0
392 0 0 0 0 0 0
393 0 0 0 0 0 0
394 0.00016739203213927018 0.00016739203213927018 0 0 3.134452332816149e-05 3.134452332816149e-05
395 0 0 0 0 0 0
396 0 0 0 0 0.014925373134328358 0.014925373134328358
397 0 0 0 0 0.0078125 0.0078125
